country,iso3,iea_elec_trends
Albania,alb,-6.6659
Algeria, dza,4.84021
Angola, ago,8.83875
Argentina, arg,5.28959
Armenia, arm,-6.90817
Australia, aus,2.51367
Austria, aut,0.425696
Azerbaijan, aze,-1.52622
Bahrain, bhr,5.87273
Bangladesh, bgd,10.1205
Belarus, blr,-0.467968
Belgium, bel,-0.959718
Benin, ben,8.37417
Bolivia, bol,5.61074
Bosnia-and-Herzegovina, bih,6.03068
Botswana, bwa,-3.34088
Brazil, bra,3.71178
Brunei-Darussalam, brn,2.64806
Bulgaria, bgr,0.852013
Cambodia, khm,6.1651
Cameroon,cmr,0.6266
Canada, can,-1.05547
Chile, chl,4.80307
People's-Republic-of-China, chn,9.96703
Chinese-Taipei, twn,4.68165
Colombia, col,0.938737
Congo, cog,139.516
Democratic-Republic-of-Congo, cod,19.4347
Costa-Rica, cri,10.7954
C?te-d'Ivoire, civ,2.91194
Croatia, hrv,1.09705
Cuba, cub,2.74831
Cyprus, cyp,4.24984
Czech-Republic, cze,-0.351322
Denmark, dnk,-2.39707
Dominican-Republic, dom,4.00168
Ecuador, ecu,6.94429
Egypt, egy,7.94641
El-Salvador, slv,4.12632
Eritrea, eri,1.99437
Estonia,est,0.408268
Ethiopia, eth,24.2392
Finland, fin,1.31413
France, fra,1.98928
Gabon, gab,3.57647
Georgia, geo,-1.91422
Germany, deu,-0.0430107
Ghana, gha,18.0184
Greece, grc,1.43449
Guatemala, gtm,6.22699
Haiti, hti,1.91295
Honduras, hnd,9.18739
"Hong-Kong,China", hkg,2.89104
Hungary, hun,-3.21684
Iceland, isl,-26.6327
India, ind,5.94602
Indonesia, idn,7.88885
Islamic-Republic-of-Iran, irn,6.99645
Iraq, irq,2.74923
Ireland,irl,-0.864595
Israel, isr,2.84719
Italy, ita,1.22595
Jamaica, jam,-5.6134
Japan, jpn,1.44668
Jordan, jor,4.50767
Kazakhstan, kaz,4.92032
Kenya, ken,3.38399
Dem.People's-Republic-of-Korea, prk,0.659978
Korea, kor,6.43351
Kuwait, kwt,8.02326
Kyrgyzstan, kgz,-4.01031
Latvia, lva,-4.4346
Lebanon, lbn,2.62475
Libyan-Arab-Jamahiriya, lby,5.46745
Lithuania, ltu,-4.21602
Luxembourg, lux,16.7779
FYR-of-Macedonia, mkd,-0.0721037
Malaysia, mys,7.99179
Malta, mlt,2.00889
Mexico,mex,1.28237
Republic-of-Moldova, mda,-5.28811
Mongolia, mng,2.09794
Morocco, mar,4.07443
Mozambique, moz,-9.39488
Myanmar, mmr,-4.7089
Namibia, nam,34.5435
Nepal, npl,-7.59121
Netherlands, nld,1.60813
New-Zealand, nzl,3.07826
Nicaragua, nic,3.11983
Nigeria, nga,4.89246
Norway, nor,8.91135
Oman, omn,8.26858
Pakistan, pak,3.75127
Panama, pan,4.14902
Paraguay, pry,-46.4225
Peru, per,8.96941
Philippines, phl,3.50564
Poland,pol,-0.264519
Portugal, prt,-0.0257134
Qatar, qat,5.23404
Romania, rou,-1.90538
Russian-Federation, rus,0.0118494
Saudi-Arabia, sau,5.36784
Senegal, sen,3.28602
Serbia, srb,-0.41604
Singapore, sgp,-0.0089705
Slovak-Republic, svk,-3.78258
Slovenia, svn,0.766778
South-Africa, zaf,2.39873
Spain, esp,1.68794
Sri-Lanka, lka,10.0662
Sudan, sdn,8.93079
Sweden, swe,-1.363
Switzerland, che,1.23376
Syrian-Arab-Republic, syr,7.60903
Tajikistan, tjk,-1.71488
United-Republic-of-Tanzania, tza,17.0783
Thailand,tha,3.39214
Togo, tgo,-10.4201
Trinidad-and-Tobago, tto,4.59241
Tunisia, tun,3.93153
Turkey, tur,5.04798
Turkmenistan, tkm,6.0248
Ukraine, ukr,-1.14338
United-Arab-Emirates, are,8.97516
United-Kingdom, gbr,0.762582
United-States, usa,-0.155306
Uruguay, ury,21.9393
Uzbekistan, uzb,0.0932932
Venezuela, ven,4.04141
Vietnam, vnm,12.4475
Yemen, yem,4.00741
Zambia,zmb,-1.24298
Zimbabwe,zwe,-4.77E-05
Other-Africa, oaf,-4.77E-05
Other-Latin-America,ola,7.88574
Other-Asia,oas,0
